X;Filing Date;Trade Date;Ticker;Company Name;Insider Name;Title;Trade Type;Price;Qty;Owned;ΔOwn;Value;1d;1w;1m;6m
;13.12.2024 19:48;13.12.2024;NVDA;Nvidia Corp;Robertson Donald F Jr;Principal Accounting Officer;S - Sale;$135.28;-4,5;480,899;-1%;-$608,775;;;;
;13.12.2024 19:52;13.12.2024;NVDA;Nvidia Corp;Kress Colette;EVP, CFO;S - Sale;$135.40;-66,67;5,594,604;-1%;-$9,027,318;;;;
;18.12.2024 17:42;16.12.2024;NVDA;Nvidia Corp;Coxe Tench;Dir;S - Sale;$131.26;-1,000,000;32,578,208;-3%;-$131,263,863;;;;
M;08.01.2025 18:04;06.01.2025;NVDA;Nvidia Corp;Puri Ajay K;EVP, Worldwide Field Ops;S - Sale;$151.11;-36,695;4,808,573;-1%;-$5,544,783;;;;
;12.03.2025 18:52;10.03.2025;NVDA;Nvidia Corp;Dabiri John;Dir;S - Sale;$110.00;-2,663;17,279;-13%;-$292,930;;;;
;17.03.2025 18:00;13.03.2025;NVDA;Nvidia Corp;Burgess Robert K;Dir;S - Sale;$115.49;-53,324;251,044;-18%;-$6,158,405;;;;
;21.03.2025 20:42;21.03.2025;NVDA;Nvidia Corp;Kress Colette;EVP, CFO;S - Sale;$116.83;-66,66;5,557,111;-1%;-$7,787,993;;;;
;21.03.2025 20:44;20.03.2025;NVDA;Nvidia Corp;Shah Aarti S.;Dir;S - Sale;$118.42;-20;53,208;-27%;-$2,368,377;;;;
;25.03.2025 17:21;21.03.2025;NVDA;Nvidia Corp;Robertson Donald F Jr;Principal Accounting Officer;S - Sale;$116.80;-4,5;479,428;-1%;-$525,585;;;;
DM;24.01.2025 20:41;22.01.2025;ORCL;Oracle Corp;Catz Safra;CEO;S - Sale+OE;$185.40;-3,805,082;1,118,592;-77%;-$705,455,414;;;;
;14.02.2025 16:41;12.02.2025;ORCL;Oracle Corp;Moorman Charles W;Dir;P - Purchase;$172.35;5,5;88,543;7%;+$947,913;;;;
M;21.03.2025 20:43;24.02.2021;ORCL;Oracle Corp;Boskin Michael J;Dir;P - Purchase;$66.08;1,682;93,458;2%;+$111,145;;;;
;04.04.2025 17:23;02.04.2025;ORCL;Oracle Corp;Seligman Naomi O;Dir;S - Sale;$145.81;-2;55,054;-4%;-$291,620;;;;
D;15.04.2025 17:21;11.04.2025;ORCL;Oracle Corp;Panetta Leon E;Dir;S - Sale+OE;$129.77;-5;58,09;-8%;-$648,850;;;;
D;06.05.2025 16:43;02.05.2025;ORCL;Oracle Corp;Panetta Leon E;Dir;S - Sale+OE;$151.24;-17,5;58,09;-23%;-$2,646,651;;;;
;06.05.2025 18:05;05.05.2025;ORCL;Oracle Corp;Seligman Naomi O;Dir;S - Sale;$149.53;-2,866;52,188;-5%;-$428,562;;;;
;05.11.2024 20:15;01.11.2024;PLTR;Palantir Technologies Inc.;Moore Alexander D.;Dir;S - Sale;$42.12;-20;1,470,630;-1%;-$842,318;;;;
DM;07.11.2024 20:02;05.11.2024;PLTR;Palantir Technologies Inc.;Karp Alexander C.;See Remarks;S - Sale+OE;$52.71;-12,343,707;6,432,258;-66%;-$650,638,388;;;;
D;07.11.2024 20:03;05.11.2024;PLTR;Palantir Technologies Inc.;Planishek Heather A.;See Remarks;S - Sale+OE;$49.96;-20;570,136;-3%;-$999,250;;;;
;07.11.2024 20:05;05.11.2024;PLTR;Palantir Technologies Inc.;Stat Lauren Elaina Friedman;Dir;S - Sale;$50.49;-8,054;193,189;-4%;-$406,646;;;;
;12.11.2024 19:37;08.11.2024;PLTR;Palantir Technologies Inc.;Stat Lauren Elaina Friedman;Dir;S - Sale;$58.06;-8,86;184,329;-5%;-$514,412;;;;
DM;15.11.2024 20:15;13.11.2024;PLTR;Palantir Technologies Inc.;Karp Alexander C.;See Remarks;S - Sale+OE;$63.11;-6,323,602;6,432,258;-50%;-$399,064,043;;;;
DM;20.11.2024 20:34;18.11.2024;PLTR;Palantir Technologies Inc.;Karp Alexander C.;See Remarks;S - Sale+OE;$63.85;-1,144,069;6,432,258;-15%;-$73,044,303;;;;
DM;22.11.2024 20:12;20.11.2024;PLTR;Palantir Technologies Inc.;Karp Alexander C.;See Remarks;S - Sale+OE;$62.96;-2,507,329;6,432,258;-28%;-$157,860,428;;;;
DM;22.11.2024 20:13;20.11.2024;PLTR;Palantir Technologies Inc.;Cohen Stephen Andrew;See Remarks;S - Sale+OE;$61.80;-348,809;592;-100%;-$21,555,678;;;;
DM;22.11.2024 20:15;20.11.2024;PLTR;Palantir Technologies Inc.;Sankar Shyam;See Remarks;S - Sale+OE;$61.80;-169,017;1,502,685;-10%;-$10,444,904;;;;
M;22.11.2024 20:17;20.11.2024;PLTR;Palantir Technologies Inc.;Taylor Ryan D.;See Remarks;S - Sale;$61.80;-77,109;254,26;-23%;-$4,765,179;;;;
M;22.11.2024 20:16;20.11.2024;PLTR;Palantir Technologies Inc.;Glazer David A.;See Remarks;S - Sale;$61.80;-66,785;293,411;-19%;-$4,127,176;;;;
M;22.11.2024 20:18;20.11.2024;PLTR;Palantir Technologies Inc.;Planishek Heather A.;See Remarks;S - Sale;$61.80;-22,218;547,918;-4%;-$1,373,027;;;;
;27.11.2024 16:19;25.11.2024;PLTR;Palantir Technologies Inc.;Stat Lauren Elaina Friedman;Dir;S - Sale;$66.77;-9,746;174,583;-5%;-$650,740;;;;
DM;03.12.2024 20:13;29.11.2024;PLTR;Palantir Technologies Inc.;Sankar Shyam;See Remarks;S - Sale+OE;$70.06;-5,280,000;1,502,685;-78%;-$369,908,300;;;;
;04.12.2024 20:06;02.12.2024;PLTR;Palantir Technologies Inc.;Moore Alexander D.;Dir;S - Sale;$66.72;-20;1,450,630;-1%;-$1,334,308;;;;
;06.12.2024 20:00;04.12.2024;PLTR;Palantir Technologies Inc.;Planishek Heather A.;See Remarks;S - Sale;$69.38;-13,891;534,027;-3%;-$963,826;;;;
;10.12.2024 20:02;06.12.2024;PLTR;Palantir Technologies Inc.;Stat Lauren Elaina Friedman;Dir;S - Sale;$76.78;-10,721;163,862;-6%;-$823,158;;;;
DM;13.12.2024 20:06;11.12.2024;PLTR;Palantir Technologies Inc.;Cohen Stephen Andrew;See Remarks;S - Sale+OE;$72.82;-1,316,053;592;-100%;-$95,838,067;;;;
D;16.12.2024 20:03;12.12.2024;PLTR;Palantir Technologies Inc.;Glazer David A.;See Remarks;S - Sale+OE;$73.30;-315,126;293,411;-52%;-$23,099,147;;;;
D;06.01.2025 20:06;02.01.2025;PLTR;Palantir Technologies Inc.;Taylor Ryan D.;See Remarks;S - Sale+OE;$74.48;-483,987;170,273;-74%;-$36,046,086;;;;
D;06.01.2025 20:05;02.01.2025;PLTR;Palantir Technologies Inc.;Glazer David A.;See Remarks;S - Sale+OE;$72.97;-96,273;293,411;-25%;-$7,024,559;;;;
;06.01.2025 20:07;02.01.2025;PLTR;Palantir Technologies Inc.;Moore Alexander D.;Dir;S - Sale;$74.51;-20;1,430,630;-1%;-$1,490,101;;;;
;06.01.2025 20:08;02.01.2025;PLTR;Palantir Technologies Inc.;Stat Lauren Elaina Friedman;Dir;S - Sale;$76.29;-1,8;162,062;-1%;-$137,322;;;;
;10.01.2025 20:01;07.01.2025;PLTR;Palantir Technologies Inc.;Schiff Alexandra W.;Dir;S - Sale;$71.64;-4;195,393;-2%;-$286,540;;;;
;05.02.2025 20:02;03.02.2025;PLTR;Palantir Technologies Inc.;Moore Alexander D.;Dir;S - Sale;$81.46;-20;1,410,630;-1%;-$1,629,103;;;;
;06.02.2025 20:04;04.02.2025;PLTR;Palantir Technologies Inc.;Schiff Alexandra W.;Dir;S - Sale;$103.83;-4;191,393;-2%;-$415,318;;;;
;06.02.2025 20:05;04.02.2025;PLTR;Palantir Technologies Inc.;Stat Lauren Elaina Friedman;Dir;S - Sale;$102.80;-11,794;150,268;-7%;-$1,212,423;;;;
;13.02.2025 20:09;11.02.2025;PLTR;Palantir Technologies Inc.;Planishek Heather A.;See Remarks;S - Sale;$115.96;-13,891;520,136;-3%;-$1,610,745;;;;
DM;24.02.2025 20:36;20.02.2025;PLTR;Palantir Technologies Inc.;Karp Alexander C.;See Remarks;S - Sale+OE;$103.01;-432,565;6,432,258;-6%;-$44,557,681;;;;
DM;24.02.2025 20:37;20.02.2025;PLTR;Palantir Technologies Inc.;Cohen Stephen Andrew;See Remarks;S - Sale+OE;$102.62;-675;592;-100%;-$69,269,088;;;;
D;24.02.2025 20:39;20.02.2025;PLTR;Palantir Technologies Inc.;Sankar Shyam;See Remarks;S - Sale+OE;$102.47;-375;1,452,685;-21%;-$38,426,081;;;;
DM;24.02.2025 20:41;20.02.2025;PLTR;Palantir Technologies Inc.;Sankar Shyam;See Remarks;S - Sale+OE;$101.51;-211,024;1,452,685;-13%;-$21,419,899;;;;
M;24.02.2025 20:42;20.02.2025;PLTR;Palantir Technologies Inc.;Planishek Heather A.;See Remarks;S - Sale;$103.01;-22,405;497,731;-4%;-$2,307,897;;;;
;05.03.2025 20:12;03.03.2025;PLTR;Palantir Technologies Inc.;Moore Alexander D.;Dir;S - Sale;$87.19;-20;1,390,630;-1%;-$1,743,735;;;;
;07.03.2025 20:09;05.03.2025;PLTR;Palantir Technologies Inc.;Schiff Alexandra W.;Dir;S - Sale;$86.63;-6,776;184,617;-4%;-$587,010;;;;
DM;14.03.2025 20:33;12.03.2025;PLTR;Palantir Technologies Inc.;Cohen Stephen Andrew;See Remarks;S - Sale+OE;$82.73;-3,750,000;592;-100%;-$310,248,337;;;;
D;19.03.2025 20:09;17.03.2025;PLTR;Palantir Technologies Inc.;Cohen Stephen Andrew;See Remarks;S - Sale+OE;$87.07;-310;592;-100%;-$26,991,578;;;;
D;02.04.2025 20:05;31.03.2025;PLTR;Palantir Technologies Inc.;Taylor Ryan D.;See Remarks;S - Sale+OE;$82.80;-98,177;403,171;-20%;-$8,129,081;;;;
;03.04.2025 20:11;01.04.2025;PLTR;Palantir Technologies Inc.;Moore Alexander D.;Dir;S - Sale;$83.83;-20;1,370,630;-1%;-$1,676,580;;;;
;07.04.2025 20:06;03.04.2025;PLTR;Palantir Technologies Inc.;Stat Lauren Elaina Friedman;Dir;S - Sale;$81.25;-800;149,468;-1%;-$65,000;;;;
;05.05.2025 20:07;01.05.2025;PLTR;Palantir Technologies Inc.;Moore Alexander D.;Dir;S - Sale;$118.58;-20;1,350,630;-1%;-$2,371,690;;;;
;12.05.2025 19:57;08.05.2025;PLTR;Palantir Technologies Inc.;Planishek Heather A.;See Remarks;P - Purchase;$116.14;10;66,136;18%;+$1,161,400;;;;
DM;22.05.2025 20:19;20.05.2025;PLTR;Palantir Technologies Inc.;Karp Alexander C.;See Remarks;S - Sale+OE;$126.35;-398,807;6,432,258;-6%;-$50,389,568;;;;
DM;22.05.2025 20:21;20.05.2025;PLTR;Palantir Technologies Inc.;Sankar Shyam;See Remarks;S - Sale+OE;$126.35;-167,545;1,452,685;-10%;-$21,169,439;;;;
DM;22.05.2025 20:20;20.05.2025;PLTR;Palantir Technologies Inc.;Cohen Stephen Andrew;See Remarks;S - Sale+OE;$126.35;-344,053;592;-100%;-$43,471,357;;;;
M;22.05.2025 20:22;20.05.2025;PLTR;Palantir Technologies Inc.;Glazer David A.;See Remarks;S - Sale;$126.35;-34,23;492,079;-7%;-$4,324,987;;;;
M;22.05.2025 20:23;20.05.2025;PLTR;Palantir Technologies Inc.;Taylor Ryan D.;See Remarks;S - Sale;$126.35;-39,416;363,755;-10%;-$4,980,241;;;;
M;22.05.2025 20:25;20.05.2025;PLTR;Palantir Technologies Inc.;Buckley Jeffrey;See Remarks;S - Sale;$126.35;-1,897;34,279;-5%;-$239,689;;;;
;28.02.2025 17:28;27.02.2025;PYPL;Paypal Holdings, Inc.;McGovern Gail J;Dir;S - Sale;$72.15;-2,446;29,734;-8%;-$176,479;;;;
D;04.11.2024 19:08;01.11.2024;TSLA;Tesla, Inc.;Taneja Vaibhav;CFO;S - Sale+OE;$251.76;-4;105,032;-4%;-$1,007,040;;;;
D;05.11.2024 20:14;01.11.2024;TSLA;Tesla, Inc.;Musk Kimbal;Dir;S - Sale+OE;$250.23;-60,5;1,563,220;-4%;-$15,138,945;;;;
D;13.11.2024 19:00;11.11.2024;TSLA;Tesla, Inc.;Wilson-Thompson Kathleen;Dir;S - Sale+OE;$346.03;-100;5,4;-95%;-$34,602,454;;;;
DM;13.11.2024 19:27;08.11.2024;TSLA;Tesla, Inc.;Taneja Vaibhav;CFO;S - Sale+OE;$316.91;-12;105,032;-10%;-$3,802,956;;;;
D;19.11.2024 19:00;15.11.2024;TSLA;Tesla, Inc.;Denholm Robyn M;Dir;S - Sale+OE;$314.44;-112,39;85;-57%;-$35,339,810;;;;
D;04.12.2024 19:00;02.12.2024;TSLA;Tesla, Inc.;Denholm Robyn M;Dir;S - Sale+OE;$354.06;-112,39;85;-57%;-$39,793,301;;;;
D;04.12.2024 20:24;02.12.2024;TSLA;Tesla, Inc.;Taneja Vaibhav;CFO;S - Sale+OE;$354.43;-7;105,032;-6%;-$2,481,039;;;;
D;06.12.2024 19:00;04.12.2024;TSLA;Tesla, Inc.;Wilson-Thompson Kathleen;Dir;S - Sale+OE;$352.54;-100;5,4;-95%;-$35,253,875;;;;
D;09.12.2024 18:58;06.12.2024;TSLA;Tesla, Inc.;Taneja Vaibhav;CFO;S - Sale+OE;$374.21;-2,606;108,965;-2%;-$975,015;;;;
D;08.01.2025 19:00;06.01.2025;TSLA;Tesla, Inc.;Wilson-Thompson Kathleen;Dir;S - Sale+OE;$411.63;-100;5,4;-95%;-$41,162,799;;;;
D;08.01.2025 19:48;06.01.2025;TSLA;Tesla, Inc.;Taneja Vaibhav;CFO;S - Sale+OE;$413.56;-7;108,965;-6%;-$2,894,918;;;;
D;05.02.2025 19:00;03.02.2025;TSLA;Tesla, Inc.;Denholm Robyn M;Dir;S - Sale+OE;$384.04;-112,39;85;-57%;-$43,162,564;;;;
D;05.02.2025 20:19;03.02.2025;TSLA;Tesla, Inc.;Taneja Vaibhav;CFO;S - Sale+OE;$383.11;-7;108,965;-6%;-$2,681,789;;;;
;10.02.2025 18:40;06.02.2025;TSLA;Tesla, Inc.;Musk Kimbal;Dir;S - Sale;$367.88;-75;1,463,220;-5%;-$27,590,619;;;;
D;05.03.2025 19:01;03.03.2025;TSLA;Tesla, Inc.;Denholm Robyn M;Dir;S - Sale+OE;$299.61;-112,39;85;-57%;-$33,672,976;;;;
D;05.03.2025 21:44;03.03.2025;TSLA;Tesla, Inc.;Taneja Vaibhav;CFO;S - Sale+OE;$296.02;-6;109,084;-5%;-$1,776,112;;;;
D;06.03.2025 20:40;06.03.2025;TSLA;Tesla, Inc.;Taneja Vaibhav;CFO;S - Sale+OE;$268.73;-2,672;112,95;-2%;-$718,111;;;;
D;12.03.2025 19:12;10.03.2025;TSLA;Tesla, Inc.;Murdoch James R;Dir;S - Sale+OE;$240.79;-54,776;884,306;-6%;-$13,189,403;;;;
D;09.04.2025 19:35;07.04.2025;TSLA;Tesla, Inc.;Taneja Vaibhav;CFO;S - Sale+OE;$250.00;-4;112,95;-3%;-$1,000,000;;;;
;28.04.2025 18:45;24.04.2025;TSLA;Tesla, Inc.;Gebbia Joseph;Dir;P - Purchase;$256.31;4;4,111;>999%;+$1,025,232;;;;
D;01.05.2025 19:00;29.04.2025;TSLA;Tesla, Inc.;Denholm Robyn M;Dir;S - Sale+OE;$285.58;-112,39;85;-57%;-$32,096,717;;;;
D;05.05.2025 21:33;01.05.2025;TSLA;Tesla, Inc.;Taneja Vaibhav;CFO;S - Sale+OE;$284.40;-4;112,95;-3%;-$1,137,599;;;;
D;08.05.2025 19:00;06.05.2025;TSLA;Tesla, Inc.;Denholm Robyn M;Dir;S - Sale+OE;$274.12;-112,395;85;-57%;-$30,809,625;;;;
D;13.05.2025 19:47;09.05.2025;TSLA;Tesla, Inc.;Taneja Vaibhav;CFO;S - Sale+OE;$300.00;-4;112,95;-3%;-$1,200,000;;;;
D;20.05.2025 19:24;16.05.2025;TSLA;Tesla, Inc.;Taneja Vaibhav;CFO;S - Sale+OE;$350.11;-3;112,95;-3%;-$1,050,336;;;;
D;29.05.2025 19:00;27.05.2025;TSLA;Tesla, Inc.;Musk Kimbal;Dir;S - Sale+OE;$357.39;-91,588;1,463,220;-6%;-$32,732,230;;;;
D;29.05.2025 19:02;27.05.2025;TSLA;Tesla, Inc.;Ehrenpreis IRA Matthew;Dir;S - Sale+OE;$357.30;-477,572;855,394;-36%;-$170,636,358;;;;
D;08.11.2024 16:33;06.11.2024;TXN;Texas Instruments Inc;Ilan Haviv;Pres, CEO;S - Sale+OE;$211.50;-25;158,676;-14%;-$5,287,595;;;;
D;08.11.2024 16:36;06.11.2024;TXN;Texas Instruments Inc;Witzsche Christine;SVP;S - Sale+OE;$211.68;-132;17,477;-1%;-$27,941;;;;
;08.11.2024 16:42;06.11.2024;TXN;Texas Instruments Inc;Gary Mark;SVP;S - Sale;$214.83;-4,377;37,926;-10%;-$940,296;;;;
D;13.11.2024 16:04;08.11.2024;TXN;Texas Instruments Inc;Gary Mark;SVP;S - Sale+OE;$219.82;-15,865;37,926;-29%;-$3,487,419;;;;
D;13.11.2024 16:07;07.11.2024;TXN;Texas Instruments Inc;Bahai Ahmad;SVP;S - Sale+OE;$217.25;-2,175;35,05;-6%;-$472,514;;;;
D;13.11.2024 16:08;07.11.2024;TXN;Texas Instruments Inc;Yunus Mohammad;SVP;S - Sale+OE;$216.94;-8,358;30,041;-22%;-$1,813,145;;;;
D;13.11.2024 16:12;08.11.2024;TXN;Texas Instruments Inc;Ilan Haviv;Pres, CEO;S - Sale+OE;$219.30;-13,151;158,676;-8%;-$2,884,026;;;;
D;13.11.2024 16:21;07.11.2024;TXN;Texas Instruments Inc;Lizardi Rafael R;SVP, CFO;S - Sale+OE;$217.16;-46,917;108,055;-30%;-$10,188,294;;;;
D;26.11.2024 16:05;25.11.2024;TXN;Texas Instruments Inc;Kirk Ronald;Dir;S - Sale+OE;$203.33;-10,539;14,323;-42%;-$2,142,910;;;;
;05.02.2025 16:30;04.02.2025;TXN;Texas Instruments Inc;Blinn Mark A;Dir;S - Sale;$180.71;-590;26,163;-2%;-$106,617;;;;
;19.02.2025 16:08;18.02.2025;TXN;Texas Instruments Inc;Leonard Shanon J;SVP;S - Sale;$186.62;-2,15;27,016;-7%;-$401,241;;;;
D;20.02.2025 16:05;19.02.2025;TXN;Texas Instruments Inc;Blinn Mark A;Dir;S - Sale+OE;$189.89;-6,186;26,163;-19%;-$1,174,646;;;;
DM;25.02.2025 17:26;21.02.2025;TXN;Texas Instruments Inc;Templeton Richard K;COB;S - Sale+OE;$202.70;-194;470,918;-29%;-$39,323,823;;;;
D;25.02.2025 17:29;24.02.2025;TXN;Texas Instruments Inc;Clark Janet F;Dir;S - Sale+OE;$203.62;-6,065;10,816;-36%;-$1,234,956;;;;
DM;27.02.2025 16:39;25.02.2025;TXN;Texas Instruments Inc;Templeton Richard K;COB;S - Sale+OE;$199.20;-194;470,918;-29%;-$38,645,457;;;;
DM;03.03.2025 16:28;27.02.2025;TXN;Texas Instruments Inc;Templeton Richard K;COB;S - Sale+OE;$195.41;-101,557;470,918;-18%;-$19,845,327;;;;
;29.01.2025 11:44;27.01.2025;VZ;Verizon Communications Inc;Malady Kyle;EVP, Group CEO-VZ Business;S - Sale;$40.54;-20;63,781;-24%;-$810,800;;;;
;30.01.2025 10:17;28.01.2025;VZ;Verizon Communications Inc;Malady Kyle;EVP, Group CEO-VZ Business;S - Sale;$40.49;-20;43,781;-31%;-$809,800;;;;
;31.01.2025 11:18;29.01.2025;VZ;Verizon Communications Inc;Malady Kyle;EVP, Group CEO-VZ Business;S - Sale;$40.88;-11,085;32,697;-25%;-$453,155;;;;
;05.02.2025 10:25;03.02.2025;VZ;Verizon Communications Inc;Malady Kyle;EVP, Group CEO-VZ Business;S - Sale;$39.89;-8;25,005;-24%;-$319,080;;;;
;06.02.2025 11:16;04.02.2025;VZ;Verizon Communications Inc;Malady Kyle;EVP, Group CEO-VZ Business;S - Sale;$39.70;-6,59;18,415;-26%;-$261,623;;;;
;27.02.2025 11:42;25.02.2025;VZ;Verizon Communications Inc;Venkatesh Vandana;EVP-PubPol, ChiefLegalOfficer;S - Sale;$43.79;-10;20,587;-33%;-$437,939;;;;
;24.04.2025 13:31;23.04.2025;VZ;Verizon Communications Inc;Malady Kyle;EVP, Group CEO-VZ Business;S - Sale;$42.49;-5;54,92;-8%;-$212,425;;;;
D;25.04.2025 16:22;24.04.2025;VZ;Verizon Communications Inc;Malady Kyle;EVP, Group CEO-VZ Business;S - Sale+OE;$43.02;-10;44,92;-18%;-$430,240;;;;
;01.05.2025 16:11;30.04.2025;VZ;Verizon Communications Inc;Malady Kyle;EVP, Group CEO-VZ Business;S - Sale;$43.88;-7,5;37,417;-17%;-$329,063;;;;
;08.05.2025 17:16;07.05.2025;VZ;Verizon Communications Inc;Malady Kyle;EVP, Group CEO-VZ Business;S - Sale;$44.10;-9;28,7;-24%;-$396,900;;;;
D;09.05.2025 15:46;08.05.2025;VZ;Verizon Communications Inc;Malady Kyle;EVP, Group CEO-VZ Business;S - Sale+OE;$43.81;-10;18,701;-35%;-$438,101;;;;
